podcast title,url
BBC World News,https://podcasts.files.bbci.co.uk/p02nq0gn.rss
Darknet Diaries,https://feeds.megaphone.fm/darknetdiaries
Talk Python To Me,https://talkpython.fm/episodes/rss
Jewish History Uncensored,https://jewishhistoryuncensored.libsyn.com/rss
Jewish History Soundbytes,https://feed.podbean.com/jsoundbites/feed.xml
Hardcore History,http://feeds.feedburner.com/dancarlin/history?format=xml
Dirshu Mishna Brurah,https://outorah.org/series/3762/feed
BBC Discovery,https://podcasts.files.bbci.co.uk/p002w557.rss
How I Built This with Guy Raz,https://feeds.npr.org/510313/podcast.xml
Planet Earth,https://rss.acast.com/bbcearthpodcast
This American Life,http://feed.thisamericanlife.org/talpodcast
